2019-01-26 19:58:46,732 - INFO  - copy_image:复制图片成功
2019-01-27 14:21:35,775 - INFO  - [[1, '2019-1', '小A', '住在回龙观', '程序员', 8000, '工资结算4周', 8000], [1, '2019-1', '小A', '住在回龙观', '扫地', 4000, '工资结算4周', 12000]]
2019-01-27 14:21:35,776 - INFO  - 4
2019-01-27 14:21:35,776 - INFO  - ['程序员']
2019-01-27 14:21:35,776 - INFO  - [8000]
2019-01-27 14:21:35,776 - INFO  - [[1, '2019-1', '小B', '居住在天通苑', '程序员', 8000, '工资结算4周', 8000]]
2019-01-27 14:21:35,778 - INFO  - xls格式表格【追加】写入数据成功！
2019-01-27 14:21:35,778 - INFO  - 4
2019-01-27 14:21:35,778 - INFO  - ['程序员']
2019-01-27 14:21:35,778 - INFO  - [8000]
2019-01-27 14:21:35,778 - INFO  - [[1, '2019-1', '小c', '居住在西二旗', '程序员', 8000, '工资结算4周', 8000]]
2019-01-27 14:21:35,779 - INFO  - xls格式表格【追加】写入数据成功！
2019-01-27 14:21:35,779 - INFO  - 4
2019-01-27 14:21:35,779 - INFO  - ['程序员']
2019-01-27 14:21:35,779 - INFO  - [8000]
2019-01-27 14:21:35,779 - INFO  - [[1, '2019-1', '小D', '居住在望京南', '程序员', 8000, '工资结算4周', 8000]]
2019-01-27 14:21:35,781 - INFO  - xls格式表格【追加】写入数据成功！
2019-01-27 14:23:04,594 - INFO  - 4
2019-01-27 14:23:04,594 - INFO  - ['程序员', '扫地']
2019-01-27 14:23:04,594 - INFO  - [8000, 4000]
2019-01-27 14:23:04,594 - INFO  - [[1, '2019-1', '小A', '住在回龙观', '程序员', 8000, '工资结算4周', 8000], [1, '2019-1', '小A', '住在回龙观', '扫地', 4000, '工资结算4周', 12000]]
2019-01-27 14:23:04,596 - INFO  - 4
2019-01-27 14:23:04,596 - INFO  - ['程序员']
2019-01-27 14:23:04,596 - INFO  - [8000]
2019-01-27 14:23:04,596 - INFO  - [[1, '2019-1', '小B', '居住在天通苑', '程序员', 8000, '工资结算4周', 8000]]
2019-01-27 14:23:04,653 - INFO  - xls格式表格【追加】写入数据成功！
2019-01-27 14:23:04,653 - INFO  - 4
2019-01-27 14:23:04,653 - INFO  - ['程序员']
2019-01-27 14:23:04,653 - INFO  - [8000]
2019-01-27 14:23:04,653 - INFO  - [[1, '2019-1', '小c', '居住在西二旗', '程序员', 8000, '工资结算4周', 8000]]
2019-01-27 14:23:04,654 - INFO  - xls格式表格【追加】写入数据成功！
2019-01-27 14:23:04,655 - INFO  - 4
2019-01-27 14:23:04,655 - INFO  - ['程序员']
2019-01-27 14:23:04,655 - INFO  - [8000]
2019-01-27 14:23:04,655 - INFO  - [[1, '2019-1', '小D', '居住在天通苑', '程序员', 8000, '工资结算4周', 8000]]
2019-01-27 14:23:04,656 - INFO  - xls格式表格【追加】写入数据成功！
2019-02-11 21:47:06,721 - INFO  - 4->5->1->9->13
2019-02-11 21:47:06,723 - INFO  - 4->1->9->13
